,Unnamed: 0,Dimension 1,Dimension 2,GMM Cluster,Song
111,111,22.000204,126.26137,4,mfcc_mean_output_18
112,112,14.841496,114.15912,4,mfcc_min_output_18
113,113,-36.33037,16.03296,5,mfcc_min_output_30
114,114,-36.33037,16.03296,5,mfcc_mean_output_30
115,115,75.87334,-32.125496,3,mfcc_mean_output_24
116,116,75.87334,-32.125496,3,mfcc_min_output_24
117,117,46.21957,-31.291725,3,mfcc_min_output1
118,118,-39.104156,38.094376,5,mfcc_mean_output_25
119,119,-39.104156,38.094376,5,mfcc_min_output_25
120,120,65.01481,-141.04613,3,mfcc_min_output_31
121,121,65.01481,-141.04613,3,mfcc_mean_output_31
122,122,-54.836388,25.310081,5,mfcc_mean_output_19
123,123,-54.836388,25.310081,5,mfcc_min_output_19
124,124,23.028717,193.46858,4,mfcc_min_output_105
125,125,50.30455,170.01134,4,mfcc_min_output_111
126,126,39.73482,-102.45028,3,mfcc_min_output_108
127,127,162.0491,18.956333,0,mfcc_mean_output_14
128,128,162.0491,18.956333,0,mfcc_min_output_14
129,129,-18.7729,83.10403,5,mfcc_mean_output_28
130,130,-18.7729,83.10403,5,mfcc_min_output_28
131,131,56.585304,151.29732,4,mfcc_mean_output_29
132,132,43.525146,155.24776,4,mfcc_min_output_29
133,133,-116.31606,-46.49296,1,mfcc_mean_output_15
134,134,-122.74762,-36.055775,1,mfcc_min_output_15
135,135,-103.28464,-25.120928,1,mfcc_min_output_109
136,136,89.70222,-90.32677,3,mfcc_min_output_17
137,137,100.144844,-83.27136,3,mfcc_mean_output_17
138,138,89.086296,-122.08242,3,mfcc_min_output_16
139,139,101.96931,-119.91011,3,mfcc_mean_output_16
140,140,113.89903,-34.194965,0,mfcc_mean_output_12
141,141,113.89903,-34.194965,0,mfcc_min_output_12
142,142,-133.87283,13.605297,1,mfcc_mean_output_13
143,143,-139.85313,2.4135528,1,mfcc_min_output_13
144,144,-48.338615,-64.44711,1,mfcc_mean_output_39
145,145,-38.623898,-72.43962,1,mfcc_min_output_39
146,146,-27.320051,-35.670864,1,mfcc_min_output_11
147,147,-27.320051,-35.670864,1,mfcc_mean_output_11
148,148,152.86449,0.36344707,0,mfcc_min_output8
149,149,-67.79434,158.0505,2,mfcc_min_output9
150,150,-25.169727,-183.39485,3,mfcc_min_output_10
151,151,-25.169727,-183.39485,3,mfcc_mean_output_10
152,152,76.17848,163.27213,4,mfcc_mean_output_38
153,153,74.84851,175.68497,4,mfcc_min_output_38
154,154,-24.030752,-3.954977,1,mfcc_min_output_77
155,155,-20.01255,-15.575873,1,mfcc_mean_output_77
156,156,25.396698,159.56992,4,mfcc_mean_output_63
157,157,12.299979,156.03928,4,mfcc_min_output_63
158,158,44.84065,-55.542698,1,mfcc_min_output_88
159,159,-98.40484,23.905014,5,mfcc_min_output_89
160,160,-90.55532,-2.5251107,1,mfcc_mean_output_62
161,161,-90.55532,-2.5251107,1,mfcc_min_output_62
162,162,-89.2421,-47.257965,1,mfcc_min_output_76
163,163,-89.2421,-47.257965,1,mfcc_mean_output_76
164,164,16.996593,67.5945,5,mfcc_min_output_60
165,165,25.32562,77.69965,5,mfcc_mean_output_60
166,166,116.074066,-12.6946745,0,mfcc_mean_output_74
167,167,112.13465,-2.0489168,0,mfcc_min_output_74
168,168,-50.598885,-121.59957,1,mfcc_mean_output_48
169,169,-50.598885,-121.59957,1,mfcc_min_output_48
170,170,-41.97954,-20.384615,1,mfcc_mean_output_49
171,171,-41.97954,-20.384615,1,mfcc_min_output_49
172,172,38.43704,-131.14243,3,mfcc_mean_output_75
173,173,47.696835,-121.977905,3,mfcc_min_output_75
174,174,46.621845,-154.32068,3,mfcc_min_output_61
175,175,46.621845,-154.32068,3,mfcc_mean_output_61
176,176,-96.05176,155.4237,2,mfcc_mean_output_59
177,177,-96.05176,155.4237,2,mfcc_min_output_59
178,178,-67.74813,-10.661606,1,mfcc_mean_output_65
179,179,-67.74813,-10.661606,1,mfcc_min_output_65
180,180,152.86449,0.36344707,0,mfcc_mean_output8
181,181,-37.673042,108.171,5,mfcc_min_output_71
182,182,-47.813053,102.51475,5,mfcc_mean_output_71
