Marathi Bhav Geet,Marathi Lavni,Asha Bhosale Songs,Indian National Anthem,Michael Jackson Songs,Kishor Kumar Songs,Song
0.6418773334332226,3.4017090517749483e-13,5.175433363201386e-07,0.3581220875667489,1.2121289154061074e-42,6.145635201299229e-08,mfcc_output_49
0.00021870577689772123,7.917206750820263e-81,0.00579817857888736,0.9939831156442148,5.4100256561916884e-67,2.4328392716981676e-31,mfcc_output_61
0.0014426661558315692,8.841891714569673e-61,0.9303750479374192,0.06818228590674853,4.142689276526806e-154,4.541975078674168e-16,mfcc_output_75
0.029073682837891156,1.015312596734399e-40,1.9773426573531528e-06,0.9709243398194516,1.7158508056764474e-32,3.029614902975092e-19,mfcc_output_74
0.08632890875439181,2.1143303223471712e-37,0.48386111745397137,0.4298099734531559,3.3921569670159337e-106,3.384805428560999e-10,mfcc_output_60
0.8867281160302971,0.0054797932489572794,1.4406666887790803e-05,0.1062708900581657,1.9810692931503005e-68,0.0015067939956922827,mfcc_output_48
0.7692765497830597,3.0294129830552215e-12,0.005455342884018336,0.22475645091623092,5.004232947455365e-82,0.0005116564136616286,mfcc_output_76
0.5862358280158709,6.710332140266508e-18,0.13422130119049988,0.2793081637601258,9.182700483293976e-99,0.00023470703350292023,mfcc_output_62
6.407802661334048e-06,2.7757421632829534e-87,4.2751448459221605e-11,0.9999189943089642,7.459784562311041e-05,5.737424537830934e-48,mfcc_output_89
0.5454231010127787,4.345468844272164e-17,1.4186093250517406e-05,0.4545626790723994,7.275798605005085e-50,3.382157105763174e-08,mfcc_output_88
0.0027934012132571997,2.29389910276396e-15,0.7524607292062316,0.00034222093162406843,6.262515339303815e-198,0.24440364864888464,mfcc_output_63
0.6525877789026123,0.258538786136644,2.2848533341728687e-13,0.08887335097270031,5.418949778512173e-35,8.398781535371594e-08,mfcc_output_77
0.03908200488414505,0.956479478173649,0.00021381421639960786,0.0035822957193214705,1.2074807647639616e-105,0.0006424070064846271,mfcc_output_73
