Marathi Bhav Geet,Marathi Lavni,Kishor Kumar Songs,Indian National Anthem,Michael Jackson Songs,Asha Bhosale Songs,Song
0.8731832456414239,0.1268167543289092,3.468208226537311e-275,2.3687655550647862e-30,5.4759290400429174e-92,2.9666750840156004e-11,mfcc_output_49
0.029913495566813945,6.101591743831873e-06,0.0,0.9700804028414421,1.578188923960527e-32,8.757589251994543e-51,mfcc_output_61
0.03892327549060206,8.851291978742882e-05,0.0,0.9609882115896106,3.8135709441476945e-30,1.3688449483361742e-40,mfcc_output_75
0.0001296264429870928,0.03184601278057974,2.6936797678408653e-137,3.323970215916712e-12,0.9680243607731068,1.931236108005774e-15,mfcc_output_74
1.0102341012731202e-05,0.058136143254954864,2.714441597233022e-22,3.5768632612873196e-85,1.9443892839576188e-59,0.9418537544040324,mfcc_output_60
0.9997968830641665,0.00020311606368043282,0.0,8.721530259770274e-10,6.009121136086346e-94,1.786267435997539e-26,mfcc_output_48
0.9259140369602031,0.07408596303978811,8.601607385084883e-308,2.026238264382036e-19,2.0599424662827924e-69,8.680125391615587e-15,mfcc_output_76
0.744240470546374,0.25575952945326447,1.0639988235362171e-268,1.840342621963509e-19,9.803411532708269e-56,3.614478690556836e-13,mfcc_output_62
0.3813503666398091,0.6186494597284027,6.2635853345581045e-205,7.368130557836846e-39,9.133520560581182e-85,1.7363178845744488e-07,mfcc_output_89
0.547701584202144,0.45229841575977214,1.29773971711779e-266,3.808353426435333e-11,1.5318963076011685e-29,2.8093266247037075e-16,mfcc_output_88
2.4965988796308746e-09,6.475214030100774e-05,5.953647654930785e-05,1.006871562420808e-72,2.9945278300794323e-22,0.9998757088865508,mfcc_output_63
0.9771805853645804,0.022819414633417624,2.44679e-318,2.5077512086475946e-36,2.572052071811973e-130,2.0020072268067106e-12,mfcc_output_77
0.14369194898590598,0.8563069323230827,4.8057188762370846e-175,3.694093584386209e-36,2.3851544092459798e-63,1.118691011218992e-06,mfcc_output_73
2.7102103069246943e-05,0.06702872903771152,1.3346687983264361e-35,5.538414410562881e-68,6.409911176705549e-45,0.9329441688592192,mfcc_output_67
0.9877760407325306,0.008939276290265254,0.0,0.0032846829772042764,2.021533878529081e-39,3.2145108298976945e-28,mfcc_output_98
0.9997769444940418,0.0002230555059582563,0.0,2.387868119081876e-22,1.502822137640761e-139,1.1712867774733693e-20,mfcc_output_99
5.771576355691284e-10,2.9943163894605703e-05,0.6630967417669071,1.4229554317242332e-93,5.083808808365959e-35,0.3368733144920407,mfcc_output_66
0.9978999476021164,7.525210037597521e-06,0.0,0.002092527187845832,1.5606963113074524e-91,1.2691721591169738e-36,mfcc_output_72
0.25504338700502865,0.7449566094629682,3.364837584557126e-203,3.841919458281143e-26,4.776163826619667e-50,3.5320033335256435e-09,mfcc_output_64
0.025891977327090133,0.9736252993886041,6.573163419833983e-125,4.410914344537834e-47,1.5367593183194166e-63,0.0004827232843058756,mfcc_output_70
0.7925680874091491,0.20743191258619711,4.0140804487299543e-268,6.101848625474939e-24,2.747183282935933e-69,4.653732958328468e-12,mfcc_output_58
6.085412925517988e-10,6.708363939306849e-05,0.9998546054255928,6.211307026639439e-130,7.621176852834616e-75,7.831032647308461e-05,mfcc_output_59
0.0012640142822166298,0.7941751892311621,1.1957677796293091e-63,2.0667043305643897e-49,1.2828103541350979e-34,0.2045607964866216,mfcc_output_71
0.8255513969664462,0.1744486030247724,7.264048389523122e-271,6.402694275211673e-26,1.8624607496222625e-76,8.781494540555838e-12,mfcc_output_65
0.04540037499544098,9.735444500482548e-07,0.0,0.954598651460109,4.7621085044064993e-54,1.6811983924588853e-47,mfcc_output_16
0.07658713868673284,6.167693027710947e-07,0.0,0.9234122445439642,1.4207305949283245e-62,3.013263280134709e-47,mfcc_output_17
0.025104274823278736,0.0008040748817656782,0.0,0.9740916502949548,5.435700553480662e-16,3.184452637963589e-39,mfcc_output_1
0.4013271718994245,0.5986728280970709,5.957364907911998e-233,2.2104009709042842e-18,4.061408442884389e-40,3.5043689946917176e-12,mfcc_output_109
1.6857694982944862e-06,0.0010361573021550237,3.554794233549075e-124,9.060739049510079e-13,0.9989621569274404,9.888090761037713e-18,mfcc_output_3
6.821741648902743e-12,4.802179316451157e-07,0.7863992109520961,5.513729613545192e-82,8.90135106248262e-21,0.2136003088231505,mfcc_output_29
0.8165062486446695,0.1834937513548763,6.720925853843716e-277,4.3078738482434734e-21,9.730368095668017e-64,4.541259749433334e-13,mfcc_output_15
8.644128978324176e-06,0.001112072886793648,8.131011374197174e-185,7.320584374437199e-08,0.9988792097783842,2.6961729956393677e-24,mfcc_output_14
0.0004690989135611094,0.4474426481395184,2.86403595695263e-52,9.341512818293656e-67,1.8916475052062077e-56,0.5520882529469204,mfcc_output_28
0.05283595547728266,1.2359216701069542e-06,0.0,0.9471628086010473,7.344331374587871e-55,1.188825937897593e-46,mfcc_output_2
0.02071838151339961,6.434224148569146e-05,0.0,0.9792172762451146,1.0854491620757245e-25,8.791670049768397e-43,mfcc_output_108
0.9873613444549435,0.012295770767110662,0.0,0.00034288477794617667,9.773851182347764e-41,1.3616531397751888e-26,mfcc_output_6
